RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
169,Marvin Williams, UTAH,66,25.4,0.54,11.3,7.7,15.7,5.5,17.9,11.5,14.04,63.4,2.1
169,Rodney Stuckey, DET,73,26.7,0.516,12.1,9.9,23.5,2.1,7.7,4.7,14.04,102.9,3.4
171,Zaza Pachulia, MIL,53,25,0.502,21.4,14.5,16.8,11.8,17.1,14.4,14.03,67.9,2.3
172,Larry Sanders, MIL,23,25.4,0.478,8.2,11.2,15.3,11.4,21.3,16.2,14.02,29.8,1
173,JR Smith, NY,74,32.7,0.527,16.3,8,20.6,1.7,13.1,7.2,14,126.4,4.2
174,Anthony Morrow, NO,76,18.8,0.57,8.8,7.6,18,2.3,9.2,5.7,13.96,73.6,2.5
174,DeMarre Carroll, ATL,73,32.1,0.575,14.6,8.6,14.1,5.3,14.5,10,13.96,120.8,4
176,Andre Miller, DEN/WSH,58,16.9,0.534,37.7,11.7,15.5,3.1,11.7,7.4,13.9,42.5,1.4
176,Danny Green, SA,68,24.3,0.58,14.6,10.7,15.5,1.8,13.4,7.8,13.9,83.7,2.8
178,Jameer Nelson, ORL,68,32,0.515,33.1,11.5,20.7,1.5,10.5,6,13.89,94.1,3.1
179,Ersan Ilyasova, MIL,55,26.9,0.486,9.4,7.9,19.9,8,18.8,13.3,13.85,51.9,1.7
180,Ronny Turiaf, MIN,31,19.5,0.578,13.1,13.6,10.2,9.6,22,15.6,13.84,29.3,1
181,Josh McRoberts, CHA,78,30.3,0.548,32.7,8.1,13.7,4,13.8,8.9,13.82,81.6,2.7
182,Courtney Lee, BOS/MEM,79,25,0.574,13.5,8.6,18.2,1.7,9.5,5.5,13.8,97.2,3.2
183,Shawn Marion, DAL,76,31.7,0.537,13,9.9,14.6,6.4,17.4,11.9,13.78,117.9,3.9
184,Andre Iguodala, GS,63,32.4,0.57,29.9,11.4,13.5,2.9,12.6,7.8,13.71,97.7,3.3
185,Victor Oladipo, ORL,80,31.1,0.514,19.7,15.4,23.3,1.9,13.1,7.5,13.64,116.5,3.9
186,Jimmy Butler, CHI,67,38.7,0.522,15.6,9.1,16.1,3.9,10.5,7.2,13.57,118.7,4
187,Kyle Korver, ATL,71,33.9,0.653,21.7,10.6,13.6,1.1,12.4,6.8,13.55,109.8,3.7
188,Roy Hibbert, IND,81,29.7,0.499,8.2,13.3,17.7,9.9,15,12.5,13.54,105.7,3.5
189,Brian Roberts, NO,72,23.2,0.529,24.2,9.8,19.9,1.2,8.4,4.7,13.49,61.9,2.1
190,Jeremy Lamb, OKC,78,19.7,0.522,14.1,7.5,18.8,2.1,11.3,6.9,13.44,67.4,2.2
191,Luis Scola, IND,82,17.1,0.505,10,13.4,21.9,7.2,23.4,15.7,13.42,40.2,1.3
191,Jonas Jerebko, DET,64,11.6,0.577,12.3,13.6,15.5,7.2,19.3,12.9,13.42,21.2,0.7
191,George Hill, IND,76,32,0.563,25.2,8.8,14.6,2.6,10.1,6.5,13.42,87.7,2.9
194,Kevin Garnett, BKN,54,20.5,0.467,15.5,13.1,17.5,6.5,32.1,19.3,13.35,45.5,1.5
195,Bismack Biyombo, CHA,77,13.9,0.606,3.5,17.3,8.6,11,27.6,19.3,13.33,43.6,1.5
196,Randy Foye, DEN,81,30.7,0.558,20.7,10.4,18.4,1.6,8.5,5,13.31,104.3,3.5
196,PJ Tucker, PHX,81,30.7,0.54,14.9,10.8,13.4,7.3,16.6,11.9,13.31,104.5,3.5
198,Shelvin Mack, ATL,73,20.4,0.51,30.3,10,19,1.6,10.7,6.2,13.28,50.7,1.7
199,Channing Frye, PHX,82,28.2,0.555,9.7,8.8,16,3.6,16.6,10.1,13.26,60.6,2
200,Al-Farouq Aminu, NO,80,25.6,0.516,15.1,11.6,13.6,7.2,21.2,14.1,13.19,82.2,2.7
201,Jeff Green, BOS,82,34.2,0.52,8.5,10.1,22,2.1,13.6,7.7,13.17,111.7,3.7
202,Glen Davis, LAC/ORL,68,24.4,0.491,9.6,9.4,14,7.4,16.4,11.9,13.14,40.6,1.4
203,Gerald Henderson, CHA,77,32,0.507,14.4,8.2,20.6,1.4,12.9,7.1,13.13,96.6,3.2
204,Cody Zeller, CHA,82,17.3,0.498,13.7,13,17.5,9.4,18.8,14.1,13.12,53.3,1.8
205,C.J. Watson, IND,63,18.9,0.555,19.8,11.1,15.9,1.9,7.4,4.8,13.08,37,1.2
206,Pablo Prigioni, NY,66,19.4,0.642,47.1,12.4,10.8,3.2,8.8,5.9,13.02,38.7,1.3
207,Tony Wroten, PHI,72,24.5,0.493,15.8,14.9,26.4,4.1,10.1,7,12.96,64.9,2.2
208,Omri Casspi, HOU,71,18.1,0.528,14.1,11.5,17.2,5.1,16.8,11.3,12.91,46.2,1.5
209,Raymond Felton, NY,65,31,0.476,31.6,11.2,18.8,3.1,8.6,5.7,12.9,57.2,1.9
210,Ray Allen, MIA,73,26.5,0.59,17.4,10.2,15.5,1.6,11.4,6.7,12.83,67.4,2.2
211,Avery Bradley, BOS,60,30.9,0.51,8.1,9.1,21.6,2.9,11.2,6.9,12.8,49.9,1.7
212,Tim Hardaway Jr., NY,81,23.1,0.554,7.7,5.5,18,1.2,6.6,3.8,12.79,64.1,2.1
213,Nate Wolters, MIL,58,22.6,0.486,27.8,8.5,17.1,2.8,10.5,6.5,12.76,34.3,1.1
214,Jordan Hamilton, DEN/HOU,60,17,0.507,10.5,9.3,17.5,3.5,17,10.4,12.75,34.2,1.1
215,Beno Udrih, NY/MEM,41,15.7,0.523,32.8,13.3,17.6,1.8,9.2,5.4,12.73,16.6,0.6
215,Draymond Green, GS,82,21.9,0.498,20.1,12,14.3,5.3,19.3,12.4,12.73,59.8,2
217,Corey Brewer, MIN,81,32.2,0.55,11.7,9.2,15.6,2.6,6.2,4.3,12.71,86.1,2.9
217,Jan Vesely, DEN/WSH,54,14.4,0.498,8.2,14.1,13.8,11.6,16.2,13.9,12.71,14,0.5
219,Dante Cunningham, MIN,81,20.2,0.475,12.6,6.3,14.4,7.3,14.9,11,12.67,28.6,1
219,Ryan Kelly, LAL,59,22.2,0.548,16.6,8.2,14.8,3.4,14.4,8.9,12.67,22.9,0.8
221,Kendall Marshall, LAL,54,29,0.494,44.9,14.1,18.1,1,9.6,5.3,12.66,38.8,1.3
222,Trey Burke, UTAH,70,32.3,0.473,26.9,8.9,22,1.8,9,5.3,12.64,55.3,1.8
223,Mike Dunleavy, CHI,82,31.5,0.549,16.3,9.5,16.3,2.1,13,7.6,12.62,81.6,2.7
224,Khris Middleton, MIL,82,30,0.541,14,10.2,18.2,2.7,12,7.2,12.55,38.5,1.3
225,Gary Neal, MIL/CHA,52,21.4,0.53,12.5,9.6,23.9,1,8.3,4.6,12.54,34,1.1
226,Kevin Seraphin, WSH,53,10.9,0.533,5.8,14.1,19.6,10.5,15.3,12.8,12.52,16.6,0.6
226,Lavoy Allen, IND/PHI,65,16.5,0.47,16.2,10.1,16.1,11.7,20,15.7,12.52,16.3,0.5
228,Aaron Brooks, DEN/HOU,72,21.6,0.518,24,12,20.8,3.1,6.7,4.9,12.51,35,1.2
229,Mike Miller, MEM,82,20.8,0.619,19.3,11.4,14.4,2.1,12.3,7.2,12.5,51,1.7
230,Wilson Chandler, DEN,62,31.1,0.526,11.4,7.9,18.3,3.2,13.3,8.2,12.48,56.9,1.9
230,Andrei Kirilenko, BKN,45,19,0.532,21.3,16,13.9,7.7,12.7,10.2,12.48,25.3,0.8
232,Jason Smith, NO,31,26.8,0.495,8,7.8,16.8,7,18.5,12.7,12.47,23.2,0.8
233,Evan Turner, IND/PHI,81,30.3,0.498,16.5,11.9,18.5,2.7,15.7,9.1,12.43,70.9,2.4
233,Patrick Beverley, HOU,56,31.3,0.545,20.3,8.9,14.3,4.9,7.4,6.2,12.43,37.4,1.2
235,Nick Calathes, MEM,71,16.5,0.506,31.8,15.5,18.3,2.3,11.5,6.9,12.36,32.5,1.1
235,Xavier Henry, LAL,43,21.1,0.511,9.6,10.7,20.9,2.9,10.5,6.7,12.36,25.1,0.8
237,Kenyon Martin, NY,32,19.8,0.521,24.1,12.5,11.4,6.5,18.7,12.5,12.25,7.1,0.2
238,Caron Butler, MIL/OKC,56,25.3,0.512,11.5,8.4,22.4,1.7,16.6,9.2,12.24,36.8,1.2
239,Anthony Randolph, DEN,43,12.3,0.499,11.5,14.1,18.6,4.1,21,12.5,12.23,13.6,0.5
240,Chris Douglas-Roberts, CHA,49,20.7,0.588,13.6,9.6,13.7,1.8,11.5,6.6,12.19,25.6,0.9
241,Robert Sacre, LAL,65,16.8,0.513,11.7,10.1,14.1,8,16.9,12.5,12.17,25.5,0.9
242,Terrence Ross, TOR,81,26.7,0.553,8.2,9.2,17.2,2.3,11.3,6.8,12.09,51.4,1.7
243,Michael Kidd-Gilchrist, CHA,62,24.2,0.516,9.5,11,13.8,8.2,16.2,12.2,12.07,35.2,1.2
244,Matt Barnes, LAC,63,27.5,0.552,16.1,10.9,15.6,4,14.4,9.4,12.05,40.2,1.3
245,Jerryd Bayless, BOS/MEM,72,23.4,0.498,20.5,8.7,19.7,1.5,8.6,5,12.04,26.2,0.9
246,Marcus Thornton, BKN/SAC,72,24.2,0.511,9.3,8.1,22,3.7,9.4,6.6,12,39,1.3
247,Dorell Wright, POR,68,14.5,0.524,14.9,9.1,15.6,3.2,17.5,10.5,11.98,21.7,0.7
248,Jae Crowder, DAL,78,16.1,0.551,14.2,9.7,12.3,4.3,13.5,8.9,11.89,26.1,0.9
249,Richard Jefferson, UTAH,82,27,0.573,13.7,9.9,16.1,0.9,10.8,5.7,11.88,45.7,1.5
250,Maurice Harkless, ORL,80,24.4,0.542,11.2,12.1,13.6,4,11.4,7.7,11.87,39.8,1.3
251,Mo Williams, POR,74,24.8,0.507,27.2,12.6,20.9,2.5,6.4,4.5,11.87,23.7,0.8
252,Kyle Singler, DET,82,28.5,0.574,9,9.4,13.3,5.2,9.2,7.1,11.86,47.4,1.6
253,Nick Collison, OKC,81,16.7,0.599,22.8,15.5,11.3,10.2,14.1,12.2,11.84,6.9,0.2
254,Pero Antic, ATL,50,18.5,0.545,13.3,12.6,17.1,7.2,18.9,13.1,11.74,15.8,0.5
255,Ish Smith, PHX,70,14.4,0.438,33,12,16.5,3.5,10.9,7.2,11.71,10.7,0.4
256,Reggie Evans, BKN/SAC,54,16.6,0.516,7.3,20.3,12.1,14.7,28.4,21.5,11.69,2.5,0.1
257,J.J. Barea, MIN,79,18.6,0.471,26.9,11.1,24.3,1.2,10.5,5.7,11.68,15,0.5
258,Austin Rivers, NO,69,19.4,0.482,20.3,9.8,20.7,2.2,9.1,5.6,11.6,21.9,0.7
259,Jarrett Jack, CLE,80,28.2,0.498,26.5,10.9,18,1.1,10.3,5.6,11.57,19,0.6
260,Martell Webster, WSH,78,27.7,0.591,12.2,7.3,13.7,2,10.1,6,11.56,34.1,1.1
261,Derrick Williams, MIN/SAC,78,23.3,0.524,7.7,10.4,16.1,4.3,15.8,10,11.53,0.7,0
262,Joel Freeland, POR,52,14,0.498,14.8,13.2,11.9,13.2,17.6,15.4,11.34,8,0.3
263,Kent Bazemore, GS/LAL,67,13.6,0.515,16.2,14.1,21.5,1.2,12.6,6.9,11.28,10.6,0.4
264,O.J. Mayo, MIL,52,25.9,0.516,14.2,11.9,21.9,2,8.8,5.3,11.27,15.5,0.5
264,Matt Bonner, SA,61,11.3,0.582,14.3,7.4,11.3,2.7,17.9,10.6,11.27,-2.4,-0.1
266,Steven Adams, OKC,81,14.8,0.541,12,19.8,10.9,14.1,17.1,15.6,11.25,11.5,0.4
267,E'Twaun Moore, ORL,79,19.1,0.513,17.2,8.4,15.4,2.2,8.1,5.1,11.18,4.1,0.1
268,Jeff Ayres, SA,73,13,0.605,18.7,19.6,11.7,11,19.2,15.3,11.16,8,0.3
269,Jason Thompson, SAC,82,24.5,0.523,7.5,13.4,13.3,8.5,21.3,14.8,11.14,-10.8,-0.4
270,Steve Novak, TOR,54,10,0.599,7.8,3,11.9,1.7,10.9,6.3,11.1,4.8,0.2
271,Wesley Johnson, LAL,79,28.4,0.522,13.8,10,13.9,3.3,13.3,8.3,11.08,19.3,0.6
272,Cartier Martin, ATL/CHI,59,14.7,0.562,9.2,9.5,15.8,1.7,12.8,7.3,11.05,7.1,0.2
273,Steve Blake, GS/LAL,55,27.2,0.508,39.3,13.1,12.1,0.9,10.4,5.7,11.01,0.2,0
273,Anthony Tolliver, CHA,64,20.3,0.605,10.8,5.9,11.3,2.9,11.8,7.3,11.01,-9.5,-0.3
275,James Anderson, PHI,80,28.9,0.53,14.6,10.4,15.1,2.7,11.7,7,10.92,14.4,0.5
276,Danny Granger, IND/LAC,41,20.7,0.502,9.7,10.9,18.2,4.3,12.9,8.8,10.9,5,0.2
277,Giannis Antetokounmpo, MIL,77,24.6,0.518,19.3,15.7,14.6,4.6,16.3,10.2,10.82,9.1,0.3
278,Chris Johnson, BOS,40,19.7,0.537,10.8,7.7,13.5,4.3,9.8,7,10.8,3.6,0.1
278,Kirk Hinrich, CHI,73,29,0.494,26.5,11.1,17.5,1.7,8.5,5.2,10.8,9.3,0.3
280,Donatas Motiejunas, HOU,62,15.4,0.504,8.1,11.6,16.3,7.4,18.2,13.1,10.76,-10.5,-0.4
281,Rashard Lewis, MIA,60,16.2,0.535,16.6,10.2,13,3.2,10.7,7.1,10.74,-11,-0.4
282,Matthew Dellavedova, CLE,72,17.7,0.535,33,10.7,13.9,2.5,8.5,5.4,10.69,3.7,0.1
283,Udonis Haslem, MIA,46,14.2,0.523,6.4,11.9,12.3,8.4,24.7,16.8,10.57,-9.1,-0.3
284,Travis Outlaw, SAC,63,16.9,0.492,11.4,6.1,14.6,3.8,14.2,8.9,10.42,-1.3,0
284,Thabo Sefolosha, OKC,61,26,0.517,18.1,10.6,11.3,3.7,11.5,7.8,10.42,-2,-0.1
286,Evan Fournier, DEN,76,19.8,0.533,13.8,12.3,18.7,2.4,12.1,7.2,10.36,-3.2,-0.1
287,Archie Goodwin, PHX,52,10.3,0.507,7.8,17.2,17.8,5.3,13,9.2,10.34,-1.3,0
288,Alexey Shved, MIN,63,10.5,0.452,17.3,12.2,20.2,3.4,10.1,6.6,10.27,-7.3,-0.2
289,Nazr Mohammed, CHI,80,7,0.445,10.2,18.9,13.5,13.6,21.7,17.7,10.18,-3.5,-0.1
289,Ian Mahinmi, IND,77,16.2,0.538,7.2,17.3,10.4,10.1,12.9,11.6,10.18,-7.9,-0.3
291,Quincy Acy, SAC/TOR,63,13.4,0.52,12.6,13.5,9.3,9.5,19.5,14.4,10.14,-4.5,-0.2
291,Perry Jones, OKC,62,12.3,0.541,10.5,8.5,11.8,4.3,12.1,8.4,10.14,-4.2,-0.1
293,Derek Fisher, OKC,81,17.6,0.542,21,8.8,13.2,1,8.3,4.8,10.09,-19.4,-0.6
294,Chuck Hayes, SAC/TOR,61,12.3,0.468,16.7,15.8,9.8,10.5,21.8,16.1,10.04,-16.5,-0.5
295,Gerald Wallace, BOS,58,24.4,0.543,27.8,18.9,11.9,2.8,14.5,8.5,10.02,-10.2,-0.3
296,Andrew Nicholson, ORL,76,15.4,0.489,4.8,9.8,17.3,5.1,19.5,12.3,9.9,-28.1,-0.9
297,Harrison Barnes, GS,78,28.3,0.486,12.1,8.8,15.6,3.3,11.9,7.7,9.85,-21.3,-0.7
298,Greg Stiemsma, NO,55,18.3,0.584,16.7,20.4,7.8,8.2,18,13,9.75,-12.8,-0.4
298,Al Harrington, WSH,34,15,0.506,9.8,12,21,3.3,15,9.1,9.75,-13.4,-0.4
300,Ray McCallum, SAC,45,19.9,0.439,25.1,8.2,17.7,2.2,7.8,5,9.74,-16.9,-0.6
301,Chase Budinger, MIN,41,18.3,0.505,9.5,7.4,15.7,2.7,12.5,7.5,9.73,-8.6,-0.3
302,Robbie John Hummel, MIN,53,12.4,0.492,10.6,4.6,11.9,5.7,16.6,11,9.67,-8.1,-0.3
303,Iman Shumpert, NY,74,26.5,0.48,17.8,10.9,13.5,4.7,14,9.2,9.66,-24.5,-0.8
304,Shawne Williams, LAL,36,20.9,0.503,11.9,8.3,11.8,3.6,20.2,11.9,9.51,0,0
305,Hollis Thompson, PHI,77,22.6,0.57,13.6,11.2,10.6,4.4,11.2,7.7,9.5,-25.9,-0.9
305,Alan Anderson, BKN,78,22.7,0.525,11.9,9.1,14.5,2.7,9.1,5.9,9.5,-26.4,-0.9
307,Kentavious Caldwell-Pope, DET,80,19.8,0.483,9.7,4.9,13.3,2.5,8.6,5.4,9.46,-24.5,-0.8
308,Darrell Arthur, DEN,68,17.1,0.459,11,10.4,17,4.8,14.7,9.8,9.41,-36.3,-1.2
309,Francisco Garcia, HOU,55,19.7,0.521,15.9,7.6,12.7,2.3,9.8,6.3,9.37,-18.2,-0.6
310,Toney Douglas, GS/MIA,51,13.2,0.493,22.2,11.1,16.5,3.3,11.8,7.6,9.2,-18.1,-0.6
311,Earl Clark, CLE/NY,54,14.2,0.466,5.5,9.5,16.5,3.2,18.2,10.5,9.09,0,0
312,Darius Miller, NO,45,16.1,0.55,17.4,8.9,12.3,1.4,7,4.2,9.06,-15.6,-0.5
313,Luke Ridnour, MIL/CHA,61,18.7,0.452,30.3,11.4,16.8,2.2,7.6,4.8,9.01,-33.9,-1.1
314,Jared Dudley, LAC,74,23.4,0.541,16.4,8.9,12.8,2.4,7.7,5.1,8.91,-41.1,-1.4
315,Norris Cole, MIA,82,24.6,0.497,27.4,14,15.2,1.1,8.6,5,8.8,-66,-2.2
316,Phil Pressey, BOS,75,15.1,0.39,40.1,14.5,15.6,2,8.8,5.3,8.78,-37.5,-1.2
317,Elliot Williams, PHI,67,17.3,0.519,13.6,12.8,15.8,2.7,9.7,6.1,8.71,-31,-1
318,Shane Battier, MIA,73,20.1,0.523,17.1,5.7,9.2,3,8.6,5.9,8.7,-39.5,-1.3
319,Alonzo Gee, CLE,65,15.7,0.491,13.3,12.4,12.7,3.8,12.8,8.2,8.63,-28.5,-0.9
320,Quincy Miller, DEN,52,15.2,0.459,7.3,13.6,16.3,4.9,15.2,10.1,8.62,-22.1,-0.7
321,Luc Mbah a Moute, MIN/SAC,64,15.7,0.503,12.1,13.4,10.9,6,10.1,8,8.42,-46.2,-1.5
322,Tayshaun Prince, MEM,76,25.6,0.438,17.5,6,12.8,1.9,12.3,7.1,8.18,-67.4,-2.2
323,Tony Snell, CHI,77,16,0.489,14.6,9.4,14.2,1.8,9.6,5.7,8.02,-45.6,-1.5
324,John Salmons, SAC/TOR,78,22.1,0.462,23.1,8.5,13.3,1.3,9.6,5.5,7.81,-69.2,-2.3
324,Garrett Temple, WSH,75,8.5,0.431,26.3,15.3,14.3,3.8,8.7,6.2,7.81,-25.6,-0.9
326,Ben McLemore, SAC,82,26.7,0.485,8.9,10.4,15.8,2.7,9.5,6.1,7.77,-89.2,-3
327,Ekpe Udoh, MIL,42,19.1,0.44,13.3,16.3,10.8,8.4,12.8,10.5,7.62,-46.5,-1.6
328,Doron Lamb, ORL,53,13.1,0.543,17.5,11,12.6,1.3,6.7,4,7.51,-31,-1
329,Brandon Davies, PHI,51,11.3,0.476,13.1,16.3,12.9,6.9,13.9,10.2,7.49,-34.4,-1.1
330,Jason Terry, BKN,35,16.3,0.501,23.2,11.2,14.7,0.8,6.9,3.9,7.48,-25.7,-0.9
331,Willie Green, LAC,55,15.8,0.477,13.5,9.2,15.2,1.6,8.2,5,7.13,-43.7,-1.5
332,Diante Garrett, UTAH,71,14.8,0.459,25.8,16.1,15.1,1.2,9.8,5.3,7.1,-61,-2
333,Anthony Bennett, CLE,52,12.8,0.425,5.3,14.7,18.7,8.1,18.4,13.1,6.95,-35.1,-1.2
334,Kendrick Perkins, OKC,62,19.5,0.474,17.7,23.7,10.9,8.1,19.9,14.3,6.32,-77.1,-2.6
335,Jeffery Taylor, CHA,26,24.2,0.436,7.7,8.8,17.5,2.7,8.1,5.4,5.97,-42.5,-1.4
336,Dennis Schroder, ATL,49,13.1,0.442,25.8,16.9,18.6,0.9,9.9,5.4,5.81,-49.7,-1.7
337,John Lucas, UTAH,42,14.1,0.403,16.1,8.4,16.2,2.3,5.4,3.8,5.23,-50.9,-1.7
